iter	Logloss
0	0.6883837792
1	0.6836541711
2	0.6778074352
3	0.6736149021
4	0.6684791192
5	0.664493786
6	0.6597959963
7	0.6548625113
8	0.6493341048
9	0.6440662975
10	0.6396765808
11	0.6359946009
12	0.6330249868
13	0.6292173001
14	0.6247673254
15	0.6209482701
16	0.6172728974
17	0.6135967098
18	0.6103287101
19	0.6066528891
20	0.6025414895
21	0.5988189445
22	0.5952966988
23	0.5920439793
24	0.5893243626
25	0.5862717461
26	0.5836440888
27	0.5805665506
28	0.5773459729
29	0.5741114775
30	0.5710003583
31	0.567796773
32	0.5649043829
33	0.5616001491
34	0.5585225443
35	0.5555521946
36	0.5524650958
37	0.54952303
38	0.5469664697
39	0.544559721
40	0.5432171977
41	0.5413828908
42	0.5389666228
43	0.5367200657
44	0.5345116441
45	0.5325892588
46	0.5302905923
47	0.5285001222
48	0.5260056709
49	0.5242158672
50	0.5225284383
51	0.5205030779
52	0.5185848968
53	0.5162169132
54	0.5138820061
55	0.5122351365
56	0.5099777377
57	0.5080447252
58	0.5065649459
59	0.5046855183
60	0.5031940019
61	0.5011647944
62	0.4997448317
63	0.4982751327
64	0.4964900744
65	0.4946406598
66	0.493431503
67	0.4917504792
68	0.4895925025
69	0.4878077117
70	0.4859165945
71	0.4842337321
72	0.482693198
73	0.4814031785
74	0.4800520559
75	0.4786482289
76	0.4774354291
77	0.4759271851
78	0.4740809758
79	0.4725686644
80	0.4713076925
81	0.469948511
82	0.4687794817
83	0.467680608
84	0.4664100261
85	0.4648341449
86	0.4639119737
87	0.4629130734
88	0.4617461887
89	0.460896629
90	0.4598265974
91	0.4583218808
92	0.4571274652
93	0.4559998116
94	0.4551767144
95	0.4540553921
96	0.453177273
97	0.4518076288
98	0.4508698174
99	0.4496794504
100	0.448319016
101	0.4470735661
102	0.4460854877
103	0.4454188422
104	0.4444822414
105	0.44320619
106	0.4424095871
107	0.4413117606
108	0.440451529
109	0.43978323
110	0.4388744121
111	0.4380289709
112	0.4370722722
113	0.4362176735
114	0.4352312043
115	0.4341029854
116	0.4333331555
117	0.4324823554
118	0.4316791189
119	0.4312635026
120	0.4306095028
121	0.4298323464
122	0.4288160067
123	0.4285348021
124	0.4276149623
125	0.4269526375
126	0.4263887675
127	0.4257136249
128	0.4249163775
129	0.424166071
130	0.4236937125
131	0.4228112502
132	0.4223370134
133	0.4216548897
134	0.4208815061
135	0.4201641664
136	0.419958394
137	0.419428058
138	0.4190516677
139	0.4182960921
140	0.4177253209
141	0.4169719393
142	0.4162899684
143	0.4157112383
144	0.4148674417
145	0.4140624059
146	0.4132871708
147	0.4126056451
148	0.4120280736
149	0.4116931704
150	0.4115334059
151	0.4111411524
152	0.4104711455
153	0.4097909713
154	0.4092900188
155	0.4084921301
156	0.4081319342
157	0.4075744899
158	0.4071809416
159	0.4065467641
160	0.406046501
161	0.4053736751
162	0.4047184185
163	0.4041915911
164	0.4038682524
165	0.4033936303
166	0.4032723181
167	0.4028816195
168	0.4025262974
169	0.4023200541
170	0.4020903306
171	0.4019493828
172	0.4018333141
173	0.40141993
174	0.4007121413
175	0.4002830141
176	0.3996037111
177	0.3991152256
178	0.398627211
179	0.3982995268
180	0.398037078
181	0.3974047182
182	0.3966027092
183	0.395840707
184	0.3954718852
185	0.3951446636
186	0.3948231742
187	0.3944944048
188	0.3941350543
189	0.3938263117
190	0.3935555936
191	0.3933724388
192	0.3930352645
193	0.3926232176
194	0.3922303941
195	0.3918733006
196	0.3911276969
197	0.3906870577
198	0.3903512842
199	0.3899184481
200	0.3897075513
201	0.3894301088
202	0.3891720846
203	0.3887263893
204	0.3883483079
205	0.3879842348
206	0.3876660581
207	0.3871614382
208	0.3867946636
209	0.3864283829
210	0.38578443
211	0.3857013549
212	0.3852465584
213	0.3848845632
214	0.3846019177
215	0.3842595812
216	0.3838890467
217	0.3836645761
218	0.3833351333
219	0.3830050651
220	0.3822753801
221	0.3819926313
222	0.3816591248
223	0.3812561519
224	0.3808983249
225	0.3806761837
226	0.3801192524
227	0.3798265504
228	0.3793902717
229	0.3792331029
230	0.3788798571
231	0.3786151039
232	0.3783073647
233	0.3779928944
234	0.3777799728
235	0.3776726556
236	0.377303214
237	0.3766183004
238	0.3761139376
239	0.3758614261
240	0.3756354237
241	0.3752815686
242	0.3749567469
243	0.3748608192
244	0.3743869577
245	0.3741777489
246	0.3740027664
247	0.3736134605
248	0.373228937
249	0.3726413833
250	0.3723730758
251	0.3721763696
252	0.3719288769
253	0.3716339527
254	0.3713307761
255	0.3709116265
256	0.3708318425
257	0.3705609429
258	0.3704063588
259	0.370009913
260	0.369591061
261	0.3692820351
262	0.3690786925
263	0.3688363416
264	0.3688021602
265	0.3684978335
266	0.3682090041
267	0.3677915498
268	0.367403487
269	0.3668469043
270	0.3666561089
271	0.3662661794
272	0.3659228069
273	0.3656741042
274	0.3654567562
275	0.3652162452
276	0.3649202425
277	0.3647406069
278	0.3643770895
279	0.3643582992
280	0.364053175
281	0.3638938734
282	0.3633770786
283	0.363166087
284	0.3629704667
285	0.3626911272
286	0.3624816765
287	0.3622797072
288	0.362066918
289	0.3618351129
290	0.3616046492
291	0.361376014
292	0.3612823063
293	0.3609244995
294	0.3606787598
295	0.3604602789
296	0.360246695
297	0.3600149311
298	0.359809594
299	0.3596142627
300	0.3594270352
301	0.3593218262
302	0.3590130777
303	0.3588230454
304	0.3586914766
305	0.3584942657
306	0.3583324501
307	0.3580556804
308	0.3578551823
309	0.3575162452
310	0.3570537719
311	0.3569259317
312	0.3566300105
313	0.3564585618
314	0.3562075879
315	0.3559176868
316	0.3556508536
317	0.3554356889
318	0.3553127586
319	0.3551982301
320	0.3550367174
321	0.3546759416
322	0.3544052048
323	0.3543310146
324	0.3540463614
325	0.3538684251
326	0.3534591846
327	0.3530527584
328	0.3526856802
329	0.3522212976
330	0.3521494867
331	0.3520434775
332	0.3517283662
333	0.3515919493
334	0.3514560854
335	0.351413577
336	0.3511810688
337	0.3510117107
338	0.3509834946
339	0.3505892212
340	0.3504125748
341	0.3502087713
342	0.3501586859
343	0.3500327911
344	0.3499130876
345	0.3497430073
346	0.3496029932
347	0.3493757405
348	0.3492658564
349	0.3492335247
