iter	Passed	Remaining
0	5	5428
1	8	4320
2	11	3898
3	17	4277
4	21	4273
5	26	4408
6	29	4204
7	33	4129
8	37	4076
9	39	3943
10	42	3835
11	45	3780
12	50	3843
13	54	3843
14	57	3775
15	62	3822
16	77	4486
17	82	4500
18	87	4494
19	93	4597
20	98	4595
21	102	4564
22	105	4495
23	108	4429
24	111	4355
25	114	4291
26	117	4244
27	124	4332
28	127	4274
29	130	4227
30	134	4198
31	138	4189
32	142	4170
33	145	4145
34	156	4317
35	176	4714
36	182	4753
37	187	4755
38	193	4759
39	196	4721
40	199	4658
41	202	4613
42	205	4566
43	208	4522
44	211	4493
45	216	4492
46	219	4453
47	223	4423
48	225	4385
49	229	4364
50	232	4333
51	236	4310
52	239	4280
53	245	4296
54	249	4285
55	252	4255
56	255	4229
57	260	4230
58	263	4208
59	267	4189
60	270	4159
61	278	4218
62	283	4209
63	291	4261
64	297	4281
65	306	4343
66	315	4400
67	327	4491
68	340	4593
69	343	4569
70	347	4550
71	358	4622
72	363	4611
73	368	4612
74	387	4781
75	391	4762
76	400	4803
77	406	4800
78	410	4784
79	425	4896
80	433	4924
81	439	4915
82	446	4936
83	451	4923
84	465	5005
85	469	4984
86	475	4991
87	481	4987
88	487	4993
89	497	5033
90	507	5070
91	516	5094
92	520	5072
93	528	5089
94	532	5077
95	537	5065
96	541	5042
97	545	5020
98	549	4996
99	553	4984
100	558	4970
101	561	4942
102	564	4918
103	570	4916
104	574	4894
105	578	4881
106	584	4878
107	588	4862
108	591	4832
109	594	4807
110	597	4788
111	601	4767
112	604	4742
113	606	4716
114	610	4694
115	613	4671
116	616	4652
117	619	4629
118	622	4605
119	624	4582
120	627	4562
121	631	4547
122	635	4528
123	637	4503
124	640	4485
125	644	4471
126	648	4455
127	651	4437
128	654	4419
129	660	4418
130	663	4401
131	666	4383
132	669	4365
133	674	4358
134	677	4342
135	680	4324
136	683	4302
137	685	4282
138	689	4273
139	692	4256
140	696	4240
141	698	4223
142	702	4211
143	706	4200
144	710	4187
145	713	4170
146	715	4154
147	718	4138
148	722	4124
149	725	4109
150	727	4092
151	730	4077
152	734	4067
153	737	4053
154	740	4039
155	744	4026
156	748	4018
157	751	4004
158	754	3991
159	757	3975
160	760	3965
161	764	3953
162	766	3937
163	771	3932
164	774	3917
165	778	3909
166	780	3890
167	782	3875
168	785	3861
169	788	3848
170	792	3842
171	794	3825
172	796	3809
173	799	3795
174	802	3782
175	804	3767
176	808	3759
177	811	3747
178	814	3735
179	817	3724
180	822	3722
181	826	3712
182	829	3702
183	832	3690
184	835	3678
185	839	3672
186	842	3662
187	845	3651
188	848	3640
189	853	3638
190	856	3627
191	860	3619
192	863	3609
193	869	3610
194	871	3598
195	876	3595
196	883	3602
197	887	3595
198	892	3592
199	901	3607
200	904	3594
201	907	3585
202	910	3573
203	914	3566
204	917	3559
205	920	3548
206	923	3538
207	928	3533
208	931	3524
209	934	3514
210	937	3504
211	938	3490
212	943	3486
213	946	3476
214	949	3467
215	952	3458
216	956	3450
217	960	3443
218	963	3434
219	966	3426
220	969	3417
221	974	3413
222	977	3404
223	979	3394
224	982	3385
225	986	3378
226	989	3370
227	992	3361
228	996	3354
229	998	3343
230	1004	3342
231	1007	3335
232	1011	3329
233	1014	3320
234	1018	3316
235	1022	3310
236	1025	3301
237	1028	3292
238	1031	3284
239	1034	3276
240	1037	3266
241	1039	3257
242	1043	3251
243	1049	3251
244	1052	3242
245	1055	3233
246	1058	3226
247	1061	3219
248	1064	3211
249	1067	3203
250	1071	3197
251	1074	3188
252	1079	3188
253	1083	3182
254	1086	3174
255	1089	3165
256	1092	3159
257	1095	3151
258	1098	3142
259	1101	3134
260	1104	3126
261	1108	3121
262	1111	3114
263	1114	3106
264	1116	3096
265	1118	3087
266	1122	3082
267	1126	3075
268	1128	3067
269	1131	3059
270	1134	3051
271	1141	3054
272	1144	3046
273	1147	3039
274	1149	3031
275	1153	3025
276	1156	3018
277	1159	3011
278	1162	3004
279	1165	2996
280	1168	2989
281	1171	2983
282	1174	2975
283	1176	2967
284	1179	2958
285	1182	2952
286	1185	2945
287	1188	2937
288	1190	2929
289	1193	2921
290	1196	2915
291	1199	2909
292	1202	2901
293	1205	2893
294	1207	2885
295	1210	2879
296	1213	2872
297	1216	2865
298	1218	2857
299	1221	2849
300	1223	2841
301	1228	2839
302	1231	2832
303	1234	2825
304	1237	2818
305	1241	2816
306	1245	2810
307	1248	2804
308	1251	2799
309	1257	2798
310	1260	2791
311	1263	2786
312	1266	2779
313	1270	2774
314	1273	2769
315	1276	2762
316	1278	2755
317	1281	2748
318	1285	2744
319	1288	2738
320	1291	2731
321	1294	2725
322	1296	2718
323	1300	2712
324	1303	2706
325	1305	2699
326	1308	2693
327	1311	2686
328	1316	2685
329	1321	2682
330	1324	2677
331	1329	2675
332	1335	2674
333	1339	2670
334	1343	2667
335	1347	2662
336	1350	2657
337	1354	2652
338	1356	2645
339	1360	2640
340	1363	2634
341	1366	2628
342	1369	2623
343	1373	2618
344	1376	2613
345	1379	2608
346	1382	2602
347	1386	2596
348	1390	2593
349	1392	2585
350	1393	2577
351	1397	2572
352	1400	2566
353	1405	2564
354	1408	2559
355	1412	2554
356	1415	2549
357	1419	2546
358	1424	2542
359	1428	2539
360	1433	2537
361	1436	2532
362	1439	2526
363	1443	2521
364	1445	2515
365	1449	2510
366	1452	2505
367	1455	2499
368	1458	2493
369	1460	2487
370	1464	2482
371	1467	2477
372	1471	2472
373	1474	2467
374	1476	2461
375	1480	2457
376	1483	2451
377	1486	2445
378	1489	2439
379	1491	2433
380	1495	2429
381	1497	2422
382	1500	2417
383	1503	2412
384	1508	2409
385	1512	2406
386	1515	2400
387	1518	2395
388	1521	2390
389	1524	2385
390	1528	2380
391	1531	2375
392	1534	2370
393	1538	2367
394	1542	2361
395	1545	2357
396	1548	2352
397	1552	2348
398	1556	2344
399	1559	2339
400	1562	2334
401	1567	2331
402	1569	2324
403	1571	2318
404	1574	2313
405	1577	2307
406	1580	2302
407	1583	2298
408	1586	2292
409	1589	2286
410	1592	2281
411	1595	2276
412	1598	2272
413	1601	2266
414	1604	2261
415	1606	2255
416	1609	2250
417	1613	2246
418	1615	2240
419	1618	2235
420	1621	2230
421	1624	2225
422	1629	2222
